Num Applicant,Applicant Information,Property,Lender,Approval Status
1,"[-77.53517, 6.335499, -48.506462, 54.262775, 26.503893, 65.891884, 66.45476, 48.137035, -85.483665, 89.95068]",[-41.87667426 -19.96079309  -9.94492851 -55.36555992  48.92455212],2,0
2,"[-77.61492, 13.86395, -40.91738, 53.11753, 10.037284, 45.805565, 62.753284, 54.50302, -84.75904, 88.30247]",[-39.37117103  -8.94823284  -9.80498923 -55.88836518  49.91714592],0,0
3,"[-77.75732, 4.1112022, -45.13678, 49.401825, 30.940992, 67.076904, 60.412857, 62.036514, -84.47106, 86.47705]",[ 97.4242718   29.70865002  99.83514017 -66.26213462  45.9442051 ],1,0
4,"[-77.33491, 22.033085, -48.93461, 55.218624, 24.823668, 59.36834, 65.340324, 48.50281, -84.554794, 87.573204]",[ 38.43187009  24.82864684 -70.33170556 -57.81888575 -82.49883325],3,1
5,"[-90.383194, 15.28472, -29.67273, 78.882675, -72.8691, -27.535618, -86.01371, 57.15679, 21.208372, -19.910654]",[-40.81221423 -23.94177895  -9.84199299 -55.28846882  49.96521668],0,1
6,"[-76.450424, 14.744965, -32.126667, 83.192696, -78.0629, -31.465422, -88.50004, 60.285633, 19.711666, -22.034443]",[-39.9304921  -26.45359373  -9.91992635 -55.89498864  50.3243575 ],3,1
7,"[-72.95984, 19.02391, -35.48876, 69.80964, -62.312286, -35.410954, -82.785545, 58.359608, 13.56202, -20.01374]",[ 38.43187009  24.82864684 -70.33170556 -57.81888575 -82.49883325],1,1
8,"[-104.3462, 18.73761, -36.39165, 78.88898, -69.757484, -28.661022, -87.77904, 59.991066, -3.3013082, -20.401897]",[-40.23143776 -22.57262905  -9.89071392 -55.30251113  48.35842735],0,0
9,"[-61.16592, 15.448542, -25.633656, 80.276886, -62.578247, -31.554085, -82.05248, 58.64692, 21.19594, -21.7086]",[-40.23143776 -22.57262905  -9.89071392 -55.30251113  48.35842735],3,1
10,"[-101.11893, 23.60915, -28.460941, 78.763725, -66.95368, -30.81433, -86.65367, 59.6106, 7.482331, -19.814665]",[-39.9304921  -26.45359373  -9.91992635 -55.89498864  50.3243575 ],1,0
11,"[-89.630844, 9.987195, -24.500862, 84.252464, -75.5916, -33.408276, -86.82607, 58.704365, 16.51303, -20.839989]",[ 36.70054647  17.5283546  -65.80116816 -64.45028039 -85.14329524],2,1
12,"[-90.894455, 26.40054, -27.60339, 80.771095, -70.92044, -30.138624, -86.96856, 59.60995, 12.640686, -22.43331]",[ 92.37703569  29.65350978  97.9596309  -68.42631748  35.87111053],1,1
13,"[80.51861, 24.781895, -32.491844, 29.285622, -22.19012, 17.335356, -39.23268, 38.200306, 9.248549, -42.5233]",[-41.01304951  -6.0798611   -9.86064816 -55.90295362  47.52039519],1,0
14,"[80.08255, 34.638878, -29.916758, 20.205086, -22.26319, 8.67572, -47.275356, 38.810883, 12.080534, -44.021156]",[-41.87667426 -19.96079309  -9.94492851 -55.36555992  48.92455212],2,1
15,"[78.70468, 28.324757, -30.890278, 18.564045, -22.21264, 18.3836, -55.332645, 38.216553, 12.075172, -43.681976]",[-39.9304921  -26.45359373  -9.91992635 -55.89498864  50.3243575 ],3,1
16,"[81.24309, 29.738657, -30.961983, 34.343052, -22.253227, 18.270182, -37.40617, 36.4541, 15.245977, -38.479145]",[-39.37117103  -8.94823284  -9.80498923 -55.88836518  49.91714592],3,1
17,"[79.31131, 31.366148, -30.864056, 15.529912, -22.298586, 21.733349, -35.813553, 36.38721, 14.305956, -38.888626]",[-40.81221423 -23.94177895  -9.84199299 -55.28846882  49.96521668],1,1
18,"[77.3608, 24.237219, -26.200514, 21.236542, -22.246979, 20.890697, -43.613575, 37.478252, 12.086608, -44.54718]",[ 36.70054647  17.5283546  -65.80116816 -64.45028039 -85.14329524],3,1
19,"[79.72824, 26.867277, -27.717522, 33.465405, -22.261951, 15.512406, -32.61013, 37.876312, 9.01617, -43.275997]",[ 97.4242718   29.70865002  99.83514017 -66.26213462  45.9442051 ],0,0
20,"[82.775276, 29.834227, -24.418282, 21.685757, -22.25295, 16.003918, -48.597595, 36.838856, 12.335285, -48.06735]",[-40.81221423 -23.94177895  -9.84199299 -55.28846882  49.96521668],3,0
21,"[75.228874, 30.674408, -27.887098, 31.84637, -22.255234, 24.972088, -50.871845, 37.08086, 9.447189, -54.79793]",[-39.9304921  -26.45359373  -9.91992635 -55.89498864  50.3243575 ],2,0
22,"[51.172413, -28.34377, -13.906717, -67.57342, 89.348694, 79.61908, -46.137554, -33.297787, -58.166115, -18.648241]",[ 36.70054647  17.5283546  -65.80116816 -64.45028039 -85.14329524],0,1
23,"[54.729305, -29.80666, -40.144978, -66.85646, 75.97206, 77.62953, -41.667583, -12.89695, -48.362324, -19.658424]",[ 33.44146264  22.57746022 -64.51337646 -70.88632277 -84.93824577],1,0
24,"[56.097496, -29.69693, -23.15634, -67.45902, 74.040764, 81.74284, -44.671013, -33.35593, -42.743458, -20.930193]",[101.11819848  27.82180096  95.57332595 -63.09623614  38.74204102],2,1
25,"[60.962154, -29.76923, -29.003744, -67.95718, 70.12366, 89.006775, -46.845753, -15.731626, -48.355957, -28.259207]",[ 33.44146264  22.57746022 -64.51337646 -70.88632277 -84.93824577],3,1
26,"[71.14446, -41.269993, 22.392199, 13.164331, 13.63608, 61.7228, -26.537617, 90.72135, 75.79338, 98.61439]",[-39.9304921  -26.45359373  -9.91992635 -55.89498864  50.3243575 ],2,0
27,"[72.71605, -38.157715, 30.960638, 19.438072, 31.608465, 65.7426, -29.684898, 89.39541, 77.965195, 96.20831]",[-40.81221423 -23.94177895  -9.84199299 -55.28846882  49.96521668],3,1
28,"[71.78917, -41.24665, 28.098269, 19.971685, 16.747839, 63.789112, -28.290585, 91.553764, 79.385635, 92.06934]",[-39.9304921  -26.45359373  -9.91992635 -55.89498864  50.3243575 ],0,1
29,"[77.139046, -42.577892, 9.309986, 8.200146, 8.968464, 64.49153, -32.118885, 91.81441, 78.07771, 86.74031]",[-39.9304921  -26.45359373  -9.91992635 -55.89498864  50.3243575 ],3,1
30,"[77.8812, -45.456432, 11.645008, 15.97214, 18.0288, 57.925484, -25.286789, 90.81257, 80.22693, 97.199234]",[ 38.43187009  24.82864684 -70.33170556 -57.81888575 -82.49883325],3,0
