Num Applicant,Applicant Information,Property,Lender,Approval Status
1,[],[-84.83470521  80.41205057 -28.84353398  33.88626032  39.67602565],1,0
2,[],[-92.66757218  80.70823738 -27.27588236  32.2835764   43.63252586],3,1
3,[],[-61.21484036 -73.98630272  59.44931868  79.06993129 100.155023  ],0,0
4,[],[-84.83470521  80.41205057 -28.84353398  33.88626032  39.67602565],0,1
5,[],[ 78.4783951   89.30573972 -60.21960754 -43.03240164 -93.33815585],0,1
6,[],[-92.66757218  80.70823738 -27.27588236  32.2835764   43.63252586],1,0
7,[],[-81.50703551  74.88497198 -33.52801299  33.22887096  34.55163925],0,0
8,[],[ 84.70285177  68.74280561 -61.68286655 -41.84756026 -77.88222034],0,1
9,[],[ 86.28114707  86.00429299 -64.4970558  -40.48295352 -81.44723288],0,1
10,[],[-67.62281195  68.26049929 -29.47802126  34.93832597  39.2670226 ],2,1
11,[],[ 80.77616958  82.25420151 -64.04132159 -36.39018016 -83.87647278],2,0
12,[],[-63.43963008 -78.24639885  59.18399345  64.74304892  74.28788187],2,0
13,[],[-84.83470521  80.41205057 -28.84353398  33.88626032  39.67602565],2,0
14,[],[ 86.28114707  86.00429299 -64.4970558  -40.48295352 -81.44723288],3,0
15,[],[-46.45380904 -55.60126472  62.26995457  80.32598532  92.47648521],0,1
16,[],[ 86.28114707  86.00429299 -64.4970558  -40.48295352 -81.44723288],1,0
17,[],[-50.79337253 -64.35389256  60.4684498   65.86087018  92.42040591],2,0
18,[],[ 81.44441151  80.25724113 -63.25542073 -43.13203    -74.71975645],2,1
