Num Applicant,Applicant Information,Property,Lender,Approval Status
1,"[2.3694278e-38 2.3694278e-38 2.3694278e-38 2.3694278e-38 2.3694278e-38
 2.3694278e-38 2.3694278e-38 2.3694278e-38 2.3694278e-38 2.3694278e-38]",[ 69.69241448  -0.13222604 -40.05421853  61.43917394  94.79391534],2,0
2,"[ 0.0000000e+00  3.6893488e+19  1.0506410e+12 -8.5920276e+09
  7.2728991e+28  7.6196675e+31  2.7483299e+20  1.7593405e+22
  8.4721859e+26  3.5302912e-41]",[-93.94686446  84.3730089   85.23287395 -89.86418848 -81.76604469],2,1
3,"[ 0.0000000e+00  3.6893488e+19  1.0507961e+12 -2.0004873e+00
  7.2728991e+28  7.6196675e+31  2.7483299e+20  1.7593405e+22
  8.0797061e+20  3.9888457e-11]",[ 69.69241448  -0.13222604 -40.05421853  61.43917394  94.79391534],3,1
4,"[0.0000000e+00 3.6893488e+19 1.0505517e+12 2.8642541e-42 7.2728991e+28
 7.6196675e+31 2.7483299e+20 1.7593405e+22 8.4721859e+26 3.5302912e-41]",[ 49.68425507  65.32369648 -42.97448877  55.11639282 -40.64906935],1,1
5,"[ 0.0000000e+00  3.6893488e+19  1.0505975e+12 -4.6577475e-10
  7.2728991e+28  7.6196675e+31  2.7483299e+20  1.7593405e+22
  8.4721859e+26  3.5302912e-41]",[ 74.78791974  -5.09398243 -36.96796401  58.43360465  79.43451114],0,0
6,"[0.00000000e+00 3.68934881e+19 1.05058894e+12 4.65774752e-10
 4.20389539e-45 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",[-94.8786551   83.64139825  85.15480926 -88.09264563 -93.03487481],3,0
7,"[ 0.0000000e+00  3.6893488e+19  1.0504562e+12 -8.5920276e+09
  6.0791027e-02  4.5835071e-41  1.4592646e-05  4.5835071e-41
  6.1017692e-02  4.5835071e-41]",[-94.8786551   83.64139825  85.15480926 -88.09264563 -93.03487481],1,0
8,"[ 0.0000000e+00  3.6893488e+19  1.0489032e+12 -3.6902478e+19
  7.2728991e+28  7.6196675e+31  2.7483299e+20  1.7593405e+22
  8.0797061e+20  3.9888457e-11]",[ 49.68425507  65.32369648 -42.97448877  55.11639282 -40.64906935],3,0
9,"[ 0.00000000e+00  3.68934881e+19  1.05046265e+12 -4.65774752e-10
  7.27289915e+28  7.61966746e+31  2.74832994e+20  1.75934054e+22
  8.47218594e+26  3.53029122e-41]",[ 50.66515429  53.59636855 -39.00359207  59.25132109 -33.33566939],3,1
10,"[0.0000000e+00 3.6893488e+19 1.0504498e+12 1.5849494e+29 7.2728991e+28
 7.6196675e+31 2.7483299e+20 1.7593405e+22 8.4721859e+26 3.5302912e-41]",[ 87.51058978  -7.67984636 -51.5400788   63.79496618  92.83566449],0,0
11,"[ 0.0000000e+00  3.6893488e+19  1.0504434e+12 -2.8642541e-42
  4.2038954e-45  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.4012985e-45  1.4012985e-45]",[-94.8786551   83.64139825  85.15480926 -88.09264563 -93.03487481],3,1
12,"[0.00000000e+00 3.68934881e+19 1.05043696e+12 1.08446635e-19
 4.20389539e-45 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.40129846e-45 1.40129846e-45]",[-91.98396703  87.20270289  85.22169311 -89.96435229 -95.22412778],1,0
13,"[0.00000000e+00 3.68934881e+19 1.05043054e+12 2.00048733e+00
 4.20389539e-45 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.40129846e-45 1.40129846e-45]",[-91.98396703  87.20270289  85.22169311 -89.96435229 -95.22412778],1,0
14,"[ 0.0000000e+00  3.6893488e+19  1.0504241e+12 -3.6902478e+19
  4.2038954e-45  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.4012985e-45  1.4012985e-45]",[-98.34375865  90.71114981  85.16150298 -88.33774365 -95.82405921],1,0
15,"[0.0000000e+00 3.6893488e+19 1.0504177e+12 2.8642541e-42 4.2038954e-45
 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4012985e-45 1.4012985e-45]",[-91.98396703  87.20270289  85.22169311 -89.96435229 -95.22412778],3,0
16,"[ 0.0000000e+00  3.6893488e+19  1.0504113e+12 -1.0844664e-19
  4.2038954e-45  0.0000000e+00  0.0000000e+00  0.0000000e+00
  1.4012985e-45  1.4012985e-45]",[ 77.86828298  -4.74340347 -45.83587647  55.52134141  95.202626  ],0,1
17,"[0.0000000e+00 3.6893488e+19 1.0503984e+12 3.6902478e+19 4.2038954e-45
 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4012985e-45 1.4012985e-45]",[ 50.99425611  50.2131209  -38.95882827  53.92884777 -35.76835531],2,0
18,"[ 0.00000000e+00  3.68934881e+19  1.05038814e+12 -2.00048733e+00
  4.20389539e-45  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.40129846e-45  1.40129846e-45]",[-93.94686446  84.3730089   85.23287395 -89.86418848 -81.76604469],2,0
19,"[0.0000000e+00 3.6893488e+19 1.0503133e+12 8.5920276e+09 4.2038954e-45
 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4012985e-45 1.4012985e-45]",[-91.98396703  87.20270289  85.22169311 -89.96435229 -95.22412778],3,1
20,"[ 0.00000000e+00  3.68934881e+19  1.05029304e+12 -1.08446635e-19
  4.20389539e-45  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.40129846e-45  1.40129846e-45]",[-116.88707297   90.89454048   85.20047874  -89.50596263  -93.9544569 ],0,1
21,"[0.0000000e+00 3.6893488e+19 1.0502866e+12 2.0004873e+00 4.2038954e-45
 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4012985e-45 1.4012985e-45]",[-98.34375865  90.71114981  85.16150298 -88.33774365 -95.82405921],0,1
22,"[0.0000000e+00 3.6893488e+19 1.0502738e+12 2.8642541e-42 4.2038954e-45
 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4012985e-45 1.4012985e-45]",[-116.88707297   90.89454048   85.20047874  -89.50596263  -93.9544569 ],1,0
23,"[0.0000000e+00 3.6893488e+19 1.0494345e+12 1.0844664e-19 7.2728991e+28
 7.6196675e+31 2.7483299e+20 1.7593405e+22 8.4721859e+26 3.5302912e-41]",[ 87.51058978  -7.67984636 -51.5400788   63.79496618  92.83566449],2,0
24,"[ 0.0000000e+00  3.6893488e+19  1.0608313e+12 -2.5249700e-29
  7.2728991e+28  7.6196675e+31  2.7483299e+20  1.7593405e+22
  8.0797061e+20  3.9888457e-11]",[-98.34375865  90.71114981  85.16150298 -88.33774365 -95.82405921],3,1
25,"[0.0000000e+00 3.6893488e+19 0.0000000e+00 3.6893488e+19 7.2728991e+28
 7.6196675e+31 2.7483299e+20 1.7593405e+22 8.0797061e+20 3.9888457e-11]",[ 50.81257305  53.02581326 -35.88332329  70.53502638 -43.32964854],3,0
26,"[0.0000000e+00 3.6893488e+19 1.2412583e+12 2.5249700e-29 1.3552532e-19
 9.8439408e-12 9.8434984e-12 9.8439425e-12 9.8439425e-12 9.7302557e-12]",[ 50.99425611  50.2131209  -38.95882827  53.92884777 -35.76835531],2,1
27,"[0.0000000e+00 3.6893488e+19 1.6386524e+12 1.5849494e+29 7.2728991e+28
 7.6196675e+31 2.7483299e+20 1.7593405e+22 8.4721859e+26 2.9191236e-11]",[ 50.99425611  50.2131209  -38.95882827  53.92884777 -35.76835531],0,0
