22
Num Applicant,Applicant Information,Property,Lender,Approval Status
22
1,"[-3.8881938457489014, 87.4811019897461, 8.308075904846191, -17.16132926940918, -39.85320281982422, -71.89310455322266, -61.93618392944336, 67.2530288696289, 20.140029907226562, -43.57455825805664]",[ 44.0125424  -26.3609895   61.43507372  15.46898033 -49.86160756],2,1
2,"[-9.792736053466797, 85.38658905029297, 8.489006996154785, -12.777390480041504, -42.17172622680664, -70.61353302001953, -63.440521240234375, 67.4803695678711, 10.820639610290527, -37.90522766113281]",[-64.54471055   6.73367206 -87.29662437 -94.09243487 -33.92333336],1,1
3,"[-8.790383338928223, 87.69502258300781, 8.512625694274902, -18.583457946777344, -41.03343963623047, -72.97697448730469, -60.48415756225586, 68.91260528564453, 13.838071823120117, -27.099966049194336]",[-89.54573335  75.67998404  31.21506409 -24.78421703   3.87612434],0,0
4,"[-18.460474014282227, 92.31885528564453, 8.27851676940918, -12.001392364501953, -30.451589584350586, -72.44369506835938, -62.30408477783203, 67.86550903320312, 18.811521530151367, -34.411277770996094]",[-64.54471055   6.73367206 -87.29662437 -94.09243487 -33.92333336],2,0
5,"[86.09929656982422, 61.318138122558594, 19.510711669921875, -50.40013122558594, 90.48836517333984, -29.662628173828125, -81.61996459960938, -60.00722122192383, 23.154136657714844, -21.966135025024414]",[-96.60933495  97.88910076  29.68449105 -26.89178231   3.90008354],2,1
6,"[75.20775604248047, 53.76838302612305, 20.740684509277344, -65.40760040283203, 82.538818359375, -52.75776290893555, -87.27494812011719, -60.831825256347656, 33.07576370239258, -19.022125244140625]",[-63.19753255  -3.62498599 -84.20813495 -88.17889481 -27.8157364 ],1,1
7,"[46.355228424072266, 85.03462219238281, 19.75067901611328, -38.35414123535156, -91.1640853881836, -1.1172322034835815, 93.13156127929688, 42.67118453979492, -11.290040016174316, 45.224082946777344]",[ 35.92550449 -25.75451136  57.28062915  17.45913153 -47.87938016],0,0
8,"[47.0854606628418, 61.175025939941406, 19.41969871520996, -33.004947662353516, -83.90589141845703, -6.184665203094482, 94.67825317382812, 42.250144958496094, -20.214021682739258, 41.794471740722656]",[-73.47095238  21.70729354 -85.250248   -97.43452925 -32.27256418],3,1
9,"[46.07143783569336, 72.6082534790039, 16.652992248535156, -52.4297981262207, -76.57756805419922, -6.368375778198242, 94.49156188964844, 57.44504928588867, -3.1270744800567627, 42.9613037109375]",[ 35.92550449 -25.75451136  57.28062915  17.45913153 -47.87938016],3,0
10,"[45.25624465942383, 71.86055755615234, 14.8757963180542, -48.20994567871094, -85.64998626708984, 1.8620526790618896, 92.98994445800781, 53.160770416259766, -4.247042179107666, 44.74989318847656]",[-89.54573335  75.67998404  31.21506409 -24.78421703   3.87612434],0,0
11,"[47.142086029052734, 59.00187683105469, 13.500904083251953, -23.665157318115234, -77.64918518066406, -14.166993141174316, 93.91373443603516, 49.29292297363281, -5.163453102111816, 46.62834548950195]",[-99.95182945  82.55598465  32.7576943  -24.34477162   3.93809665],2,0
12,"[31.15617561340332, -25.828548431396484, -64.40591430664062, -76.3293685913086, -13.503832817077637, 26.99936294555664, -77.84574127197266, 5.44124174118042, -19.57802391052246, -92.7850570678711]",[-64.54471055   6.73367206 -87.29662437 -94.09243487 -33.92333336],0,0
13,"[36.17280960083008, -36.1337776184082, -61.98159408569336, -69.0401840209961, -16.18438148498535, 36.004966735839844, -77.3251953125, -16.574892044067383, -33.3354606628418, -94.06832122802734]",[ 53.58552914 -23.64933308  51.21149719  14.88205912 -50.98020245],0,0
14,"[36.397918701171875, -23.397737503051758, -65.81216430664062, -91.61376190185547, 3.932753801345825, 30.353931427001953, -71.20227813720703, 7.479860782623291, -12.887232780456543, -91.69007110595703]",[ -67.10198698  -10.25819108  -80.61557892 -105.42032822  -29.79650804],1,1
15,"[31.860950469970703, -9.170984268188477, -64.47676849365234, -84.97525024414062, -12.541674613952637, 38.01449203491211, -70.59382629394531, -6.669833660125732, -17.98967170715332, -99.52833557128906]",[-89.54573335  75.67998404  31.21506409 -24.78421703   3.87612434],2,0
16,"[-22.33424186706543, -27.722108840942383, -6.577365875244141, 102.96492004394531, 28.251808166503906, 57.539615631103516, -94.9294204711914, -61.69989776611328, -83.26021575927734, -24.02682113647461]",[-96.60933495  97.88910076  29.68449105 -26.89178231   3.90008354],3,1
17,"[-23.21160888671875, -26.72318458557129, -15.639554977416992, 115.61200714111328, 16.6773624420166, 65.5137939453125, -90.8455581665039, -72.884521484375, -97.06382751464844, -25.985904693603516]",[-102.1431778    99.10330332   27.00934386  -24.92695733    4.00832271],2,1
